20230206	19:37:28	701b64fe-4570-4adf-94f2-ad78b09f4e21	POST	undefined	/auth
20230206	19:37:37	6638360c-49b7-468d-ad9e-94170dba5f3e	GET	undefined	/logout
20230206	19:38:15	43ef2e6a-00ba-4766-82dc-9d3de0d51f8c	POST	undefined	/auth
20230206	19:38:20	792ad5f8-dd25-4f86-aef4-8eabfc9e5b89	GET	undefined	/logout
20230206	19:39:11	e368b29e-677c-428b-b601-744c4f2da48c	GET	undefined	/auth
20230206	19:39:26	bb56954c-52cc-46f0-aaad-445c186abb9d	POST	undefined	/auth
20230206	19:39:39	66d79d31-c996-4e9d-b6d2-2be85e05fc40	GET	undefined	/logout
20230206	19:39:48	4bed5cea-6c53-454a-9228-64ed6a25d2e9	POST	undefined	/auth
20230206	19:40:02	65c58cbe-99e7-4d37-849b-aaa775d3da54	GET	undefined	/logout
20230206	19:40:39	e514b589-781f-4209-bf3e-c23def1b4c0d	POST	undefined	/auth
20230206	19:41:00	553f0649-12ca-420f-8e9b-4751fa1cf524	GET	undefined	/logout
20230206	19:41:43	e6591b57-9ec6-471d-b084-41d408b8d089	POST	undefined	/auth
20230206	19:41:57	7239a825-7447-4958-a774-5befd00cf7c6	GET	undefined	/logout
20230206	19:46:34	96b2a9d5-e46b-4806-8ad6-8a404ee339cf	POST	undefined	/auth
20230206	19:46:46	108cb54f-fbb5-47c6-8095-29930aa9ac30	GET	undefined	/logout
20230206	19:47:06	0a0be239-103f-42e7-b6a0-706d8d4bdba5	GET	undefined	/auth
20230206	19:47:19	06c06c23-b0e1-42b7-93fd-8216d1ecb4dd	GET	undefined	/auth
20230206	19:47:31	fe40be7b-fa42-4cda-8f90-2a8fe07662ab	POST	undefined	/auth
20230206	19:47:41	be273030-04fc-4b06-9b12-17d7b1a90588	GET	undefined	/logout
20230208	09:17:22	1645797e-11da-4970-b9cc-51ea4d524a00	GET	undefined	/auth
20230208	09:18:35	1c0c80fd-5f7c-42a5-8933-a7fcc57d95c8	GET	undefined	/auth
20230208	09:19:05	1a07c719-650a-408d-8a06-94565987ed55	GET	undefined	/auth
20230208	09:20:40	a551982e-5681-4dce-982a-bd5ee3819ea5	GET	undefined	/auth
20230208	09:22:22	5ebc77d8-d359-4b06-96f5-60b6118f50b6	GET	undefined	/auth
20230208	09:24:56	ef9f4d3c-d67a-4b0a-b40f-afc962ffe271	GET	undefined	/auth
20230208	09:26:30	6b601cc7-416d-43de-87f5-033a38a3e799	GET	undefined	/auth
20230208	09:28:53	fda49884-1d01-4a52-9be0-de974f6c61d9	GET	undefined	/auth
20230208	09:30:49	ef501735-6a5a-49be-b641-5401b5282f00	GET	undefined	/auth
20230208	09:34:59	a17ae1f6-71c7-4521-bdcd-3fe476fb9495	GET	undefined	/auth
20230208	09:35:01	5ef7124c-433b-47aa-a47f-8b956d6a590e	GET	undefined	/auth
20230208	09:37:05	9cd97bfc-c32d-48d8-a19a-34b232fb2cbd	POST	undefined	/register
20230208	09:39:04	33d0d4a2-fe64-428e-b35c-3860b06dcad9	GET	undefined	/auth
20230208	09:39:45	802c24b0-359c-4d46-864e-043b1a0498d0	POST	undefined	/auth
20230208	09:40:22	242dd8d3-bb35-4782-990d-bf9209463bf2	POST	undefined	/auth
20230208	09:41:01	d96adaee-9d32-4c1b-bd68-70826b8a78dd	GET	undefined	/employees
20230208	09:41:16	e4719d4b-621a-46dc-b1b5-3513fdbb01b7	GET	undefined	/employees
20230208	09:42:20	782dc341-5b6e-43b2-8817-d56341688bd1	GET	undefined	/employees
20230208	09:42:26	eba7a439-c835-4e01-bb6d-bb6ead89b0d0	POST	undefined	/auth
20230208	09:42:38	cbf82ec0-3f45-42bb-bfc1-7703578a3061	GET	undefined	/employees
20230208	09:43:08	bb3c3925-8b44-4115-8f3d-2861fe42c87a	POST	undefined	/auth
